no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,Judul,deskripsi
1,4/6/2021,https://www.rumah123.com/properti/palembang/hos8130952/,1400000000,Palembang,201,192,3,3,0,0,1,1,2200,SHM,New Listing Rumah 2 Lantai Semi furnish di Jl. Kebun Bunga KM 9 Palembang,"SHM IMB PBB KT 3, KM 3, LT 2 HADAP BARAT LISTRIK 2300 AIR PDAM"
2,4/6/2021,https://www.rumah123.com/properti/palembang/hos8130834/,3500000000,Palembang,293,58,4,2,0,0,1,0,5000,SHM,New Listing Cepat Rumah Siap Huni di Lorong Karya II Jl. Dwikora I Palembang,Luas Tanah : 293 M2 Luas Bangunan : 58 M2 Kamar tidur : 4 unit Kamar mandi : 2 unit Gudang : 1 unit Jumlah lantai : 1 lantai Harga Jual : Rp. 3.500.000.000 Sertifikat Hak Milik Listrik 5000 watt Air PDAM
3,4/6/2021,https://www.rumah123.com/properti/palembang/hos8130496/,1850000000,Palembang,300,300,8,6,0,0,1,1,1300,SHM,Rumah 2 Lantai di Jl. Inspektur Marzuki Pakjo Palembang,Luas Tanah : 300 m2 Luas Bangunan : 300 m2 Kamar tidur : 8 Kamar Mandi : 6 Lantai : 2 Harga Jual Rp. 1.850.000.000 -SHM -Listrik : 1300 watt -Air : PAM 24 Jam -Ada ruangan untuk kantor
4,4/9/2021,https://www.rumah123.com/properti/palembang/hos8149599/,800000000,Palembang,154,150,2,1,0,0,1,0,2200,SHM,"Rumah Jln Kapten Marzuki, dekat Universitas Tridinanti, SMP Xaverius I Tengah Kota Palembang",Spesifikasi : Sertifikat Hak Milik PBB Listrik 2200 watt Air PDAM
5,4/9/2021,https://www.rumah123.com/properti/palembang/hos8148286/,6000000000,Palembang,878,700,5,3,0,0,1,1,1300,SHM,New Listing Rumah Lokasi Strategis di Jl. Silaberanti Plaju Palembang,"Lokasi Rumah di jalan utama Silaberanti Dekat Universitas Muhammadiyah Palembang Lokasi dibelakang Stikes Muhammadiyah Palembang Lingkungan Ramai dan Nyaman Ada Kios 11 pintu sewa 10 jt/thn/unit Ada Kos-kosan 12 pintu sewa. 7.5 jt/thn/unit Ada Kontrakan 4 pintu sewa 5 jt/thn/unit Cocok untuk investasi, usaha dan tempat tinggal keluarga"
6,4/9/2021,https://www.rumah123.com/properti/palembang/hos8148128/,1600000000,Palembang,355,200,2,3,0,0,0,0,2200,SHM,New Listing Cepat Rumah 2 Lantai di Jl Tanjung Pandan Sako Palembang,"Posisi hook, Rumah dengan lingkungan yang nyaman aman , dekat dengan sekolah, Ptc mall, sekolah, pasar, bandara, fasilitas umum."
7,4/9/2021,https://www.rumah123.com/properti/palembang/hos8148032/,1200000000,Palembang,211,150,4,2,1,0,1,0,2200,SHM,New Listing Rumah Nyaman Huni di Jl. Musi 1 Way Hitam Palembang,"Lokasi Rumah di Lingkungan Ramai dan Nyaman, Cocok untuk investasi, dan sebagai tempat tinggal bersama keluarga anda"
8,4/9/2021,https://www.rumah123.com/properti/palembang/hos8147522/,400000000,Palembang,84,40,2,1,0,0,1,0,0,SHM,Miliki Hunian Komersil Green Center Park Terbaik dikelasnya hanya Di Palembang,"Khusus : Pns, Bumd, Bumn, Karyawan Swasta Nasional/Multinasional"
9,4/9/2021,https://www.rumah123.com/properti/palembang/hos8147168/,850000000,Palembang,560,120,3,2,0,0,1,0,2200,SHM,New Listing Rumah Hunian di Jl. May Zen Dekat Kawasan Komplek PUSRI Palembang,"Rumah kondisi bagus dan terawat. Siap huni. terletak di kawasan ramai dan padat penduduk, dekat area komplek PUSRI. Lingkungan aman dan nyaman. Bebas Banjir. Akses dekat kemana-mana."
10,4/6/2021,https://www.rumah123.com/properti/palembang/hos8130078/,1800000000,Palembang,461,70,4,3,0,0,1,0,1300,SHM,Rumah di Jl. Mojopahit Kertapati Seberang Ulu 1 Palembang,Akses jalan 2 mobil 200m dari jalan Utama Lokasi di depan Masjid Lingkungan Aman dan Nyaman Cocok untuk tempat tinggal keluarga
11,4/6/2021,https://www.rumah123.com/properti/palembang/hos8129937/,2500000000,Palembang,377,320,3,3,0,0,1,1,2200,SHM,New Listing Rumah Nyaman Huni di Jl. Lingkar Istana Demang Lebar Daun Palembang,"Akses jalan 2 mobil Lokasi ditengah kota Palembang Lokasi disamping Istana Gubernur Dekat Mall Palembang Square, Palembang Icon, Transmart, dan Palembang Indah Mall Dekat Rs. SILOAM Dekat Hotel. Aryaduta Dekat ke Pusat Pemerintahan Palembang Lingkungan Aman dan Nyaman Cocok Untuk kos-kosan dan Rumah Tinggal Keluarga."
12,5/15/2020,https://www.rumah123.com/properti/palembang/hos6562342/,400000000,Palembang,84,40,2,1,0,0,1,0,1300,SHM,Rumah tanpa DP,Fasum luar komplek: Dekat MCD Dekat Cinema mall Dekat Danau eco Dekat Giant Dekat bandara Dekat sekolah Dekat pasar tradisionall Jooging track
13,4/24/2020,https://www.rumah123.com/properti/palembang/hos6475096/,425000000,Palembang,98,40,2,1,0,0,1,0,1300,SHM,Miliki Hunian Komersil Terbaik di Kota Palembang,Air ATS CCTV Security 24 Jam Jogging Track Musholla Taman Buah
14,10/6/2020,https://www.rumah123.com/properti/palembang/hos7398829/,550000000,Palembang,120,200,2,1,0,0,1,0,2200,SHM,Rumah Murah Komplek Griya Kencana Indah - Palembang,"Letak Strategis dekat dengan Rs. Charitas cabang kenten,sekolah TK-SD Xaverius 9, Gereja Katolik St.Petrus, Pasar Perumnas,Terminal Perumnas,Gereja HKBP,Mesjid.."
15,4/1/2021,https://www.rumah123.com/properti/palembang/hos8106924/,1600000000,Palembang,365,350,9,3,0,0,1,1,900,SHM,Rumah 350/365 lt2 Sekip ujung Palembang,LT : 365m LB : 350m (Lt.2) KT : 9 KM : 3 Listrik : 900 watt
16,1/5/2021,rumah123.com/properti/palembang/hos7744686/,2500000000,Palembang,348,144,3,2,0,0,1,1,6600,SHM,rumah di villa damai kedamaian permai 2 Palembang,rumah di palembang villa damai kedamaian permai 2 depan SMA kusuma bangsa Luas tanah 348 Luas bangunan 9 x 16 1 lantai Kamar tidur 3 Kamar mandi 2 Listrik 6600 Pam Sertifikat hak milik lokasi strategis. posisi di Hook. Hadap timur
17,3/31/2021,https://www.rumah123.com/properti/palembang/hos8105039/,1300000000,Palembang,129,150,3,2,0,0,1,0,2200,SHM,New Listing Rumah Full Furnis Komplek Grand Garden Celentang Palembang,Lokasi berseberangan Basilica Celentang 2 menit ke Pasar Perumnas 3 menit ke Pusri 3 menit ke SMA Kumbang 4 menit ke Pusri 5 menit ke PTC Mall
18,3/28/2021,https://www.rumah123.com/properti/palembang/hos8090654/,2074000000,Palembang,133,126,3,3,0,0,1,1,2200,SHM,"Rumah One Gate System di Kenten City Type Brassica, Suka Maju, Sako Kota Palembang","Rumah one gate system dengan kondisi bagus siap huni, berada di jalan Kenten, Suka Maju, Sako, Suka Maju, Kec. Sako, Kota Palembang. Cocok untuk tempat tinggal keluarga Anda. Posisi rumah berada di lingkungan mudah untuk akses ke transportasi umum"
19,3/28/2021,https://www.rumah123.com/properti/palembang/hos8090539/,650000000,Palembang,112,80,3,2,0,0,1,0,3300,SHM,"Rumah one gate system Siap Pakai di Kebun Bunga, Sukarami, Palembang","Rumah one gate system dengan kondisi bagus siap huni, berada di jalan Kebun Bunga, Kebun Bunga, Kec. Sukara"
20,3/28/2021,https://www.rumah123.com/properti/palembang/hos8090362/,930000000,Palembang,300,200,4,5,0,0,1,0,2200,SHM,Rumah di Komplek perumahan DPR Jl Matahari Maskarebet Palembang,"lokasi rumah Strategis tdk Banjir Posisi Hook terdapat 2 kios. Dekat Sekolah ( SDN 243 , SMPN 54 ) Dekat pasar tradisional. Dekat dgn Supermarket Gerai ATM Dekat Polsek Sukarami. 5 menit ke kampus IGM. 10 menit ke Bandara Internasional SMB II."
21,3/25/2021,https://www.rumah123.com/properti/palembang/hos8077294/,10000000000,Palembang,1065,400,3,3,0,0,1,1,4400,SHM,Rumah Dengan Halaman Luas di jl. Beliton Puncak Sekuning Palembang,"lokasi rumah berada di Lingkungan nyaman, jalan lebar dan asri, bebas banjir, Pusat Kota Palembang. Jarak 5 menit ke PS Mall, Palembang Icon, Transmart, minimarket, perkantoran jalan Arivai, kampus Universitas Sriwijaya, Restoran, Kafe dan kuliner lainnya. Jarak 2 menit ke SMP Xaverius 2, SMA Negeri 2, dan sekolah lainnya."
22,3/25/2021,https://www.rumah123.com/properti/palembang/hos8078351/,1200000000,Palembang,102,230,3,3,0,0,1,0,2600,SHM,New Listing 2 Unit Rumah Gandeng di Komplek Alir Estate Bukit Sangkal Palembang,"Lokasi Rumah hanya 5 menit ke Mall,Super Indo, JM Kenten, Pasar Ikan Modern, PTC Mall Lokasi 10 menit ke Bandara, Terminal Perumnas, Pusri."
23,3/25/2021,https://www.rumah123.com/properti/palembang/hos8077980/,850000000,Palembang,107,117,1,2,0,0,1,0,2200,SHM,Townhouse Samping Sekolah Maitreyawira di Jl. Residence A. Rozak Palembang,Townhouse memiliki HBU Karena Bangunan nya masih Standart ( Plong ) bisa dibuat Multifungsi diantaranya : Sebagai Less Privat / Bimbingan Belajar Bangunan bisa dibuat Kos-Kosan ( dekat dg Sekolah Maitreyawira dan SMA Kumbang ) Bangunan bisa dibuat Ruko Bangunan bisa dibuat Rumah Tingga
